META
VERSION=1
DICT_NAME=柯林斯词典
DICT_INTRO=柯林斯词典示例文件，共999个单词的分割释义
DICT_LANG=en
DEF_TMPL={{单词}} {{词性}}{{音标}}<br/>{{中文释义}}
FIELDS=单词	音标	词性	扩展	英文释义	中文释义
acne	英[ˈækni]美[ˈækni]	★☆☆☆☆ n-uncount		<span class="endef"> If someone has <b>acne</b>, they have a skin condition which causes a lot of spots on their face and neck.   </span>	<span class="text_blue">痤疮；粉刺</span>
acolyte	英[ˈækəlaɪt]美[ˈækəˌlaɪt]	n-count		<span class="endef"> An <b>acolyte</b> is a follower or assistant of an important person.   </span>	<span class="text_blue">追随者;侍从;助手</span>
acolyte	英[ˈækəlaɪt]美[ˈækəˌlaɪt]	n-count		<span class="endef"> An <b>acolyte</b> is someone who assists a priest in performing certain religious services.   </span>	<span class="text_blue">辅祭;教士助手</span>
acorn	英[ˈeɪkɔ:n]美[ˈeɪkɔrn]	n-count		<span class="endef"> An <b>acorn</b> is a pale oval nut that is the fruit of an oak tree.   </span>	<span class="text_blue">橡（树果）实；橡子</span>
acoustic	英[əˈku:stɪk]美[əˈkustɪk]	★★☆☆☆ adj		<span class="endef"> An <b>acoustic</b> guitar or other instrument is one whose sound is produced without any electrical equipment.   </span>	<span class="text_blue">（吉他等乐器）原声的，自然声的，不用电传音的</span>
acoustic	英[əˈku:stɪk]美[əˈkustɪk]	★★☆☆☆ n-count		<span class="endef"> If you refer to the <b>acoustics</b> or the <b>acoustic</b> of a space, you are referring to the structural features which determine how well you can hear music or speech in it.   </span>	<span class="text_blue">（空间的）传声效果，音响效果</span>
acoustic	英[əˈku:stɪk]美[əˈkustɪk]	★★☆☆☆ n-uncount		<span class="endef"><b>Acoustics</b> is the scientific study of sound.   </span>	<span class="text_blue">声学</span>
acoustic	英[əˈku:stɪk]美[əˈkustɪk]	★★☆☆☆ adj		<span class="endef"><b>Acoustic</b> means relating to sound or hearing.   </span>	<span class="text_blue">声音的;听觉的</span>
acoustically	英[ə'ku:stɪklɪ]美[ə'kustɪklɪ]	★★☆☆☆ adj		<span class="endef"> An <b>acoustic</b> guitar or other instrument is one whose sound is produced without any electrical equipment.   </span>	<span class="text_blue">（吉他等乐器）原声的，自然声的，不用电传音的</span>
acoustically	英[ə'ku:stɪklɪ]美[ə'kustɪklɪ]	★★☆☆☆ n-count		<span class="endef"> If you refer to the <b>acoustics</b> or the <b>acoustic</b> of a space, you are referring to the structural features which determine how well you can hear music or speech in it.   </span>	<span class="text_blue">（空间的）传声效果，音响效果</span>
acoustically	英[ə'ku:stɪklɪ]美[ə'kustɪklɪ]	★★☆☆☆ n-uncount		<span class="endef"><b>Acoustics</b> is the scientific study of sound.   </span>	<span class="text_blue">声学</span>
acoustically	英[ə'ku:stɪklɪ]美[ə'kustɪklɪ]	★★☆☆☆ adj		<span class="endef"><b>Acoustic</b> means relating to sound or hearing.   </span>	<span class="text_blue">声音的;听觉的</span>
acquaint	英[əˈkweɪnt]美[əˈkwent]	★☆☆☆☆ verb		<span class="endef"><span class="st" onmouseout="st_mouseout(this)" onmouseover="st_mouseover(this)" style="font-weight:bold;">See also:</span><b class="text_blue"><a class="explain" href="entry://acquainted">acquainted</a></b>; If you <b>acquaint</b> someone <b>with</b> something, you tell them about it so that they know it. If you <b>acquaint yourself with</b> something, you learn about it.   </span>	<span class="text_blue">使认识;介绍;使了解</span>
acquaintance	英[əˈkweɪntəns]美[əˈkwentəns]	★★☆☆☆ n-count		<span class="endef"> An <b>acquaintance</b> is someone who you have met and know slightly, but not well.   </span>	<span class="text_blue">认识的人；泛泛之交</span>
acquaintance	英[əˈkweɪntəns]美[əˈkwentəns]	★★☆☆☆ n-var		<span class="endef"> If you have an <b>acquaintance with</b> someone, you have met them and you know them.   </span>	<span class="text_blue">认识;相识</span>
acquaintance	英[əˈkweɪntəns]美[əˈkwentəns]	★★☆☆☆ n-uncount		<span class="endef"> Your <b>acquaintance with</b> a subject is your knowledge or experience of it.   </span>	<span class="text_blue">了解；熟悉</span>
acquaintance	英[əˈkweɪntəns]美[əˈkwentəns]	★★☆☆☆ phrase		<span class="endef"> When you <b>make</b> someone's <b>acquaintance</b>, you meet them for the first time and get to know them a little.   </span>	<span class="text_blue">与（某人）初次相识;结识(某人)</span>
acquaintance	英[əˈkweɪntəns]美[əˈkwentəns]	★★☆☆☆ phrase		<span class="endef"> A person <b>of</b> your <b>acquaintance</b> is someone who you have met and know.   </span>	<span class="text_blue">所认识的</span>
acquainted	英[əˈkweɪntɪd]美[əˈkwentɪd]	adj-graded		<span class="endef"> If you are <b>acquainted with</b> something, you know about it because you have learned it or experienced it.   </span>	<span class="text_blue">了解的;熟悉的</span>
acquainted	英[əˈkweɪntɪd]美[əˈkwentɪd]	adj-graded		<span class="endef"> If you are <b>acquainted with</b> someone, you have met them and you know them. You can also say that two people are <b>acquainted</b>.   </span>	<span class="text_blue">（与某人）认识的，相识的</span>
acquainted	英[əˈkweɪntɪd]美[əˈkwentɪd]	adj-graded		<span class="endef"> If you get or become <b>acquainted with</b> someone that you do not know, you talk to each other or do something together so that you get to know each other. You can also say that two people get or become <b>acquainted</b> .   </span>	<span class="text_blue">结识的;相互了解的</span>
acquainted	英[əˈkweɪntɪd]美[əˈkwentɪd]	see also:		<span class="endef"><b class="text_blue"><a class="explain" href="entry://acquaint">acquaint</a></b>;    </span>	<span class="text_blue"></span>
acquiesce	英[ˌækwiˈes]美[ˌækwiˈɛs]	verb		<span class="endef"> If you <b>acquiesce in</b> something, you agree to do what someone wants or to accept what they do.   </span>	<span class="text_blue">同意；默认；默许；顺从</span>
acquiescence	英[ˌækwiˈesns]美[ˌækwiˈɛsəns]	n-uncount		<span class="endef"><b>Acquiescence</b> is agreement to do what someone wants, or acceptance of what they do even though you do not agree with it.   </span>	<span class="text_blue">同意；默认；默许；顺从</span>
acquiescent	英[ˌækwɪ'esnt]美[ˌækwɪ'esnt]	adj-graded		<span class="endef"> Someone who is <b>acquiescent</b> is ready to agree to do what someone wants, or to accept what they do.   </span>	<span class="text_blue">默认的;默许的;顺从的</span>
acquire	英[əˈkwaɪə(r)]美[əˈkwaɪr]	★★★☆☆ verb		<span class="endef"> If you <b>acquire</b> something, you buy or obtain it for yourself, or someone gives it to you.   </span>	<span class="text_blue">获得；购得</span>
acquire	英[əˈkwaɪə(r)]美[əˈkwaɪr]	★★★☆☆ verb		<span class="endef"> If you <b>acquire</b> something such as a skill or a habit, you learn it, or develop it through your daily life or experience.   </span>	<span class="text_blue">获得（技能）；养成（习惯）</span>
acquire	英[əˈkwaɪə(r)]美[əˈkwaɪr]	★★★☆☆ verb		<span class="endef"> If someone or something <b>acquires</b> a certain reputation, they start to have that reputation.   </span>	<span class="text_blue">获得，得到（某种名声）</span>
acquire	英[əˈkwaɪə(r)]美[əˈkwaɪr]	★★★☆☆ phrase		<span class="endef"> If you describe something as an <b>acquired taste</b>, you mean that a lot of people do not like it when they first experience it, but often start to like it more when they get to know it better.   </span>	<span class="text_blue">后天养成的爱好;培养出来的兴趣</span>
acquired immune deficiency syndrome	英[əˈkwaɪədiˈmju:ndiˈfiʃənsiˈsindrəum]美[əˈkwaɪrdɪˈmjoondɪˈfɪʃənsiˈsɪnˌdrom]	n-uncount		<span class="endef"><b>Acquired immune deficiency syndrome</b> is the same as <b>AIDS</b> .   </span>	<span class="text_blue">同AIDS</span>
acquirer	英[ə'kwaɪərə]美[ə'kwaɪərə]	n-count		<span class="endef"> In business, an <b>acquirer</b> is a company or person who buys another company.   </span>	<span class="text_blue">收购者;兼并者</span>
acquisition	英[ˌækwɪˈzɪʃn]美[ˌækwɪˈzɪʃən]	★★★☆☆ n-var		<span class="endef"> If a company or business person makes an <b>acquisition</b>, they buy another company or part of a company.   </span>	<span class="text_blue">（对公司的）收购，并购</span>
acquisition	英[ˌækwɪˈzɪʃn]美[ˌækwɪˈzɪʃən]	★★★☆☆ n-count		<span class="endef"> If you make an <b>acquisition</b>, you buy or obtain something, often to add to things that you already have.   </span>	<span class="text_blue">购买;添置</span>
acquisition	英[ˌækwɪˈzɪʃn]美[ˌækwɪˈzɪʃən]	★★★☆☆ n-count		<span class="endef"> You can use <b>acquisition</b> to refer to an object that you buy or obtain, often to add to things that you already have.   </span>	<span class="text_blue">购得物;获得物;增添物</span>
acquisition	英[ˌækwɪˈzɪʃn]美[ˌækwɪˈzɪʃən]	★★★☆☆ n-uncount		<span class="endef"> The <b>acquisition</b> of a skill or a particular type of knowledge is the process of learning it or developing it.   </span>	<span class="text_blue">（知识、技能等的）获得，习得</span>
acquisitive	英[əˈkwɪzətɪv]美[əˈkwɪzɪtɪv]	adj-graded		<span class="endef"> If you describe a person or an organization as <b>acquisitive</b>, you do not approve of them because you think they are too concerned with getting new possessions.   </span>	<span class="text_blue">渴望得到的;迫切求取的;贪婪的</span>
acquit	英[əˈkwɪt]美[əˈkwɪt]	★☆☆☆☆ verb		<span class="endef"> If someone <b>is acquitted of</b> a crime in a court of law, they are formally declared not to have committed the crime.   </span>	<span class="text_blue">宣判…无罪</span>
acquit	英[əˈkwɪt]美[əˈkwɪt]	★☆☆☆☆ verb		<span class="endef"> If you <b>acquit yourself</b> well or admirably in a particular situation, other people feel that you have behaved well or admirably.   </span>	<span class="text_blue">表现；履行；完成</span>
acquittal	英[əˈkwɪtl]美[əˈkwɪtl]	★☆☆☆☆ n-var		<span class="endef"><b>Acquittal</b> is a formal declaration in a court of law that someone who has been accused of a crime is innocent.   </span>	<span class="text_blue">宣告无罪；无罪的判决</span>
acre	英[ˈeɪkə(r)]美[ˈekɚ]	★★★☆☆ n-count		<span class="endef"> An <b>acre</b> is an area of land measuring 4840 square yards or 4047 square metres.   </span>	<span class="text_blue">英亩（等于4,840平方码或4,047平方米）</span>
acreage	英[ˈeɪkərɪdʒ]美[ˈekərɪdʒ,ˈekrɪdʒ]	n-var		<span class="endef"><b>Acreage</b> is a large area of farm land.   </span>	<span class="text_blue">（一大片）耕地;（以英亩计的）土地面积</span>
acrid	英[ˈækrɪd]美[ˈækrɪd]	adj-graded		<span class="endef"> An <b>acrid</b> smell or taste is strong and sharp, and usually unpleasant.   </span>	<span class="text_blue">（气味或味道）辛辣的，苦的，刺激的</span>
acrimonious	英[ˌækrɪˈməʊniəs]美[ˌækrɪˈmoʊniəs]	★☆☆☆☆ adj-graded		<span class="endef"><b>Acrimonious</b> words or quarrels are bitter and angry.   </span>	<span class="text_blue">（言辞、争吵等）尖刻的，激烈的</span>
acrimoniously	英[ˌækrɪ'məʊnɪəslɪ]美[ˌækrɪ'moʊnɪrslɪ]	★☆☆☆☆ adj-graded		<span class="endef"><b>Acrimonious</b> words or quarrels are bitter and angry.   </span>	<span class="text_blue">（言辞、争吵等）尖刻的，激烈的</span>
acrimony	英[ˈækrɪməni]美[ˈækrɪmoʊni]	n-uncount		<span class="endef"><b>Acrimony</b> is bitter and angry words or quarrels.   </span>	<span class="text_blue">尖刻的言辞；激烈的争吵</span>
acrobat	英[ˈækrəbæt]美[ˈækrəˌbæt]	n-count		<span class="endef"> An <b>acrobat</b> is an entertainer who performs difficult physical acts such as jumping and balancing, especially in a circus.   </span>	<span class="text_blue">（尤指马戏团的）杂技演员</span>
acrobatic	英[ˌækrəˈbætɪk]美[ˌækrəˈbætɪk]	adj-graded		<span class="endef"> An <b>acrobatic</b> movement or display involves difficult physical acts such as jumping and balancing, especially in a circus.   </span>	<span class="text_blue">杂技的</span>
acrobatics	英[ˌækrəˈbætɪks]美[ˌækrəˈbætɪks]	n-plural		<span class="endef"><b>Acrobatics</b> are acrobatic movements.   </span>	<span class="text_blue">杂技；杂技表演；杂技技艺</span>
acronym	英[ˈækrənɪm]美['ækrənɪm]	★☆☆☆☆ n-count		<span class="endef"> An <b>acronym</b> is a word composed of the first letters of the words in a phrase, especially when this is used as a name. An example of an acronym is NATO which is made up of the first letters of the 'North Atlantic Treaty Organization'.   </span>	<span class="text_blue">（尤用作名称）首字母缩拼词，首字母缩略词</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> If someone or something goes <b>across</b> a place or a boundary, they go from one side of it to the other.   </span>	<span class="text_blue">从一边到另一边</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> If something is situated or stretched <b>across</b> something else, it is situated or stretched from one side of it to the other.   </span>	<span class="text_blue">横跨;横过;穿过</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> If something is lying <b>across</b> an object or place, it is resting on it and partly covering it.   </span>	<span class="text_blue">（放置或覆盖）在…上</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> Something that is <b>across</b> something such as a street, river, or area is on the other side of it.   </span>	<span class="text_blue">在…对过；在…对面</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ adv		<span class="endef"> If you look <b>across</b> at a place, person, or thing, you look towards them.   </span>	<span class="text_blue">朝；向</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> You use <b>across</b> to say that a particular expression is shown on someone's face.   </span>	<span class="text_blue">（表情展露）在（脸）上</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> If someone hits you <b>across</b> the face or head, they hit you on that part.   </span>	<span class="text_blue">（打）在（脸、头等部位）上</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> When something happens <b>across</b> a place or organization, it happens equally everywhere within it.   </span>	<span class="text_blue">在…各处；遍及</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ prep		<span class="endef"> When something happens <b>across</b> a political, religious, or social barrier, it involves people in different groups.  <b>across the board</b><span class="text_gray" style="font-weight:bold;">→see: </span><b class="text_blue"><a class="explain" href="entry://board">board</a></b>;  </span>	<span class="text_blue">超越，跨越（政治、宗教、社会隔阂等）</span>
across	英[əˈkrɒs]美[əˈkrɔs]	★★★★★ adv		<span class="endef"><b>Across</b> is used in measurements to show the width of something.   </span>	<span class="text_blue">（测量时）宽…</span>
acrylic	英[əˈkrɪlɪk]美[əˈkrɪlɪk]	★☆☆☆☆ n-uncount		<span class="endef"><b>Acrylic</b> material is artificial and is manufactured by a chemical process.   </span>	<span class="text_blue">丙烯酸</span>
acrylic	英[əˈkrɪlɪk]美[əˈkrɪlɪk]	★☆☆☆☆ n-mass		<span class="endef"><b>Acrylics</b> or <b>acrylic paint</b> is a type of paint used by artists.   </span>	<span class="text_blue">丙烯酸颜料</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> When you <b>act</b>, you do something for a particular purpose.   </span>	<span class="text_blue">做事;行动</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> If you <b>act on</b> advice or information, you do what has been advised or suggested.   </span>	<span class="text_blue">遵照…行动；奉行</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> If someone <b>acts</b> in a particular way, they behave in that way.   </span>	<span class="text_blue">举止;表现</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> If someone or something <b>acts as</b> a particular thing, they have that role or function.   </span>	<span class="text_blue">起作用;充当</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> If someone <b>acts</b> in a particular way, they pretend to be something that they are not.   </span>	<span class="text_blue">假装;故作</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> When professionals such as lawyers <b>act for</b> you, or <b>act on</b> your <b>behalf</b>, they are employed by you to deal with a particular matter.   </span>	<span class="text_blue">代理；代表</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> If a force or substance <b>acts on</b> someone or something, it has a certain effect on them.   </span>	<span class="text_blue">影响；作用于</span>
act	英[ækt]美[ækt]	★★★★★ verb		<span class="endef"> If you <b>act</b>, or <b>act</b> a part in a play or film, you have a part in it.   </span>	<span class="text_blue">表演；演（戏）；出演（角色）</span>
act	英[ækt]美[ækt]	★★★★★ n-count		<span class="endef"> An <b>act</b> is a single thing that someone does.   </span>	<span class="text_blue">行为；行动</span>
act	英[ækt]美[ækt]	★★★★★ n-sing		<span class="endef"> If you say that someone's behaviour is an <b>act</b>, you mean that it does not express their real feelings.   </span>	<span class="text_blue">装模作样;装腔作势</span>
act	英[ækt]美[ækt]	★★★★★ n-count		<span class="endef"> An <b>Act</b> is a law passed by the government.   </span>	<span class="text_blue">法案；法令；条例</span>
act	英[ækt]美[ækt]	★★★★★ n-count		<span class="endef"> An <b>act</b> in a play, opera, or ballet is one of the main parts into which it is divided.   </span>	<span class="text_blue">（戏剧、歌剧、芭蕾舞剧等的）幕</span>
act	英[ækt]美[ækt]	★★★★★ n-count		<span class="endef"> An <b>act</b> in a show is a short performance which is one of several in the show.   </span>	<span class="text_blue">（演出中的）短节目</span>
act	英[ækt]美[ækt]	★★★★★ phrase		<span class="endef"> If you <b>catch</b> someone <b>in the act</b>, you discover them doing something wrong or committing a crime.   </span>	<span class="text_blue">当场抓住；抓现行</span>
act	英[ækt]美[ækt]	★★★★★ phrase		<span class="endef"> If someone who has been behaving badly <b>cleans up</b> their <b>act</b>, they start to behave in a more acceptable or responsible way.   </span>	<span class="text_blue">改邪归正；重新做人</span>
act	英[ækt]美[ækt]	★★★★★ phrase		<span class="endef"> If you <b>get in on the act</b>, you take part in or take advantage of something that was started by someone else.   </span>	<span class="text_blue">（为了得到好处等）参与，插一手</span>
act	英[ækt]美[ækt]	★★★★★ phrase		<span class="endef"> You say that someone was <b>in the act of</b> doing something to indicate what they were doing when they were seen or interrupted.   </span>	<span class="text_blue">正在做…</span>
act	英[ækt]美[ækt]	★★★★★ phrase		<span class="endef"> If you <b>get</b> your <b>act together</b>, you organize your life or your affairs so that you are able to achieve what you want or to deal with something effectively.   </span>	<span class="text_blue">全力以赴；集中精力；劲儿往一处使</span>
act	英[ækt]美[ækt]	★★★★★ 		<span class="endef">   to <b>act</b> one's <b>age</b><span class="text_gray" style="font-weight:bold;">→see: </span><b class="text_blue"><a class="explain" href="entry://age">age</a></b>; to act the fool<span class="text_gray" style="font-weight:bold;">→see: </span><b class="text_blue"><a class="explain" href="entry://fool">fool</a></b>;  </span>	<span class="text_blue"></span>
acting	英[ˈæktɪŋ]美[ˈæktɪŋ]	★★☆☆☆ n-uncount		<span class="endef"><b>Acting</b> is the activity or profession of performing in plays or films.   </span>	<span class="text_blue">表演;演艺业;演技;演戏</span>
acting	英[ˈæktɪŋ]美[ˈæktɪŋ]	★★☆☆☆ adj		<span class="endef"> You use <b>acting</b> before the title of a job to indicate that someone is doing that job temporarily.   </span>	<span class="text_blue">临时代理的</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ n-uncount		<span class="endef"><b>Action</b> is doing something for a particular purpose.   </span>	<span class="text_blue">行动；措施</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ n-count		<span class="endef"> An <b>action</b> is something that you do on a particular occasion.   </span>	<span class="text_blue">所做之事；行为</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ n-count		<span class="endef"> To bring a legal <b>action</b> against someone means to bring a case against them in a court of law.   </span>	<span class="text_blue">诉讼；起诉</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ n-uncount		<span class="endef"> The <b>action</b> of a chemical is the way in which it works, or the effects that it has.   </span>	<span class="text_blue">（化学物质产生的）作用，效果</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ n-sing		<span class="endef"><b>The action</b> is all the important and exciting things that are happening in a situation.   </span>	<span class="text_blue">激动人心（或重要）的大事</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ n-uncount		<span class="endef"> The fighting which takes place in a war can be referred to as <b>action</b> .   </span>	<span class="text_blue">战斗；作战</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ adj		<span class="endef"> An <b>action</b> movie is a film in which a lot of dangerous and exciting things happen. An <b>action</b> hero is the main character in one of these films.   </span>	<span class="text_blue">（电影）情节惊险刺激的；动作（片）的；动作片中的</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ verb		<span class="endef"> If you <b>action</b> something that needs to be done, you deal with it.   </span>	<span class="text_blue">处理</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ phrase		<span class="endef"> If someone or something is <b>out of action</b>, they are injured or damaged and cannot work or be used.   </span>	<span class="text_blue">（因受伤或损坏）不能工作，失去作用，无法运转</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ phrase		<span class="endef"> If someone wants to have <b>a piece of the action</b> or <b>a slice of the action</b>, they want to take part in an exciting activity or situation, usually in order to make money or become more important.   </span>	<span class="text_blue">（通常为了赚钱或提高影响力）插手，参与</span>
action	英[ˈækʃn]美[ˈækʃən]	★★★★★ phrase		<span class="endef"> If you <b>put</b> an idea or policy <b>into action</b>, you begin to use it or cause it to operate.   </span>	<span class="text_blue">把…付诸实践</span>
actionable	英[ˈækʃənəbl]美[ˈækʃənəbəl]	adj		<span class="endef"> If something that you do or say to someone is <b>actionable</b>, it gives them a valid reason for bringing a legal case against you.   </span>	<span class="text_blue">可以起诉的；可提起诉讼的</span>
action replay	英[ˈækʃənri:ˈpleɪ]美[ˈækʃənriˈple]	n-count		<span class="endef"> An <b>action replay</b> is a repeated showing, usually in slow motion, of an event that has just been on television.   </span>	<span class="text_blue">（电视画面等的）即时重放，重放慢镜头</span>
activate	英[ˈæktɪveɪt]美[ˈæktəˌvet]	★☆☆☆☆ verb		<span class="endef"> If a device or process <b>is activated</b>, something causes it to start working.   </span>	<span class="text_blue">使运作；使起作用；激活</span>
activation	英[ˌæktɪ'veɪʃn]美[ˌæktɪ'veɪʃn]	★☆☆☆☆ verb		<span class="endef"> If a device or process <b>is activated</b>, something causes it to start working.   </span>	<span class="text_blue">使运作；使起作用；激活</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ adj-graded		<span class="endef"> Someone who is <b>active</b> moves around a lot or does a lot of things.   </span>	<span class="text_blue">忙碌的；活跃的</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ adj-graded		<span class="endef"> If you have an <b>active</b> mind or imagination, you are always thinking of new things.   </span>	<span class="text_blue">（思想等）活跃的</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ adj-graded		<span class="endef"> If someone is <b>active</b> in an organization, cause, or campaign, they do things for it rather than just giving it their support.   </span>	<span class="text_blue">积极（参与）的</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ adj		<span class="endef"><b>Active</b> is used to emphasize that someone is taking action in order to achieve something, rather than just hoping for it or achieving it in an indirect way.   </span>	<span class="text_blue">积极的；主动的</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ adj		<span class="endef"> If you say that a person or animal is <b>active</b> in a particular place or at a particular time, you mean that they are performing their usual activities or performing a particular activity.   </span>	<span class="text_blue">定期进行的;活动的</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ adj		<span class="endef"> An <b>active</b> volcano has erupted recently or is expected to erupt quite soon.   </span>	<span class="text_blue">（火山）活的</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ adj		<span class="endef"> An <b>active</b> substance has a chemical or biological effect on things.   </span>	<span class="text_blue">起化学(或生物)作用的;活性的;有效的</span>
active	英[ˈæktɪv]美[ˈæktɪv]	★★★★☆ n-sing		<span class="endef"> In grammar, <b>the active</b> or <b>the active voice</b> means the forms of a verb which are used when the subject refers to a person or thing that does something. For example, in 'I saw her yesterday', the verb is in the active.   </span>	<span class="text_blue">（语法中的）主动语态</span>
active duty	英[ˈæktivˈdju:ti]美[ˈæktɪvˈduti]	n-uncount		<span class="endef"><b>Active duty</b> means the same as <b>active service</b> .   </span>	<span class="text_blue">同active service</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ adj-graded		<span class="endef"> Someone who is <b>active</b> moves around a lot or does a lot of things.   </span>	<span class="text_blue">忙碌的；活跃的</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ adj-graded		<span class="endef"> If you have an <b>active</b> mind or imagination, you are always thinking of new things.   </span>	<span class="text_blue">（思想等）活跃的</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ adj-graded		<span class="endef"> If someone is <b>active</b> in an organization, cause, or campaign, they do things for it rather than just giving it their support.   </span>	<span class="text_blue">积极（参与）的</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ adj		<span class="endef"><b>Active</b> is used to emphasize that someone is taking action in order to achieve something, rather than just hoping for it or achieving it in an indirect way.   </span>	<span class="text_blue">积极的；主动的</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ adj		<span class="endef"> If you say that a person or animal is <b>active</b> in a particular place or at a particular time, you mean that they are performing their usual activities or performing a particular activity.   </span>	<span class="text_blue">定期进行的;活动的</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ adj		<span class="endef"> An <b>active</b> volcano has erupted recently or is expected to erupt quite soon.   </span>	<span class="text_blue">（火山）活的</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ adj		<span class="endef"> An <b>active</b> substance has a chemical or biological effect on things.   </span>	<span class="text_blue">起化学(或生物)作用的;活性的;有效的</span>
actively	英['æktɪvlɪ]美['æktɪvlɪ]	★★★★☆ n-sing		<span class="endef"> In grammar, <b>the active</b> or <b>the active voice</b> means the forms of a verb which are used when the subject refers to a person or thing that does something. For example, in 'I saw her yesterday', the verb is in the active.   </span>	<span class="text_blue">（语法中的）主动语态</span>
active service	英[ˈæktivˈsɜːvɪs]美[ˈæktɪv'sɝvɪs]	n-uncount		<span class="endef"> Someone who is <b>on active service</b> is taking part in a war as a member of the armed forces.   </span>	<span class="text_blue">现役；战时服役</span>
activism	英['æktɪvɪzəm]美[ˈæktəˌvɪzəm]	★☆☆☆☆ n-uncount		<span class="endef"><b>Activism</b> is the process of campaigning in public or working for an organization in order to bring about political or social change.   </span>	<span class="text_blue">激进主义；行动主义</span>
activist	英[ˈæktɪvɪst]美[ˈæktəvɪst]	★★★☆☆ n-count		<span class="endef"> An <b>activist</b> is a person who works to bring about political or social changes by campaigning in public or working for an organization.   </span>	<span class="text_blue">积极分子；活跃分子</span>
activity	英[ækˈtɪvəti]美[ækˈtɪvɪti]	★★★★☆ n-uncount		<span class="endef"><b>Activity</b> is a situation in which a lot of things are happening or being done.   </span>	<span class="text_blue">热闹状况;活跃</span>
activity	英[ækˈtɪvəti]美[ækˈtɪvɪti]	★★★★☆ n-count		<span class="endef"> An <b>activity</b> is something that you spend time doing.   </span>	<span class="text_blue">活动</span>
activity	英[ækˈtɪvəti]美[ækˈtɪvɪti]	★★★★☆ n-plural		<span class="endef"> The <b>activities</b> of a group are the things that they do in order to achieve their aims.   </span>	<span class="text_blue">（团体为达到某种目的而采取的）活动，行动</span>
act of God	[æktɔvɡɔd]	n-count		<span class="endef"> An <b>act of God</b> is an event that is beyond human control, especially one in which something is damaged or someone is hurt.   </span>	<span class="text_blue">天灾；不可抗力</span>
actor	英[ˈæktə(r)]美[ˈæktɚ]	★★★☆☆ n-count		<span class="endef"> An <b>actor</b> is someone whose job is acting in plays or films. 'Actor' in the singular usually refers to a man, but some women who act prefer to be called 'actors' rather than 'actresses'.   </span>	<span class="text_blue">演员（单数形式的actor通常指男演员，但有些女演员喜欢被称为actor而不是actress)</span>
act out	英[æktaut]美[æktaʊt]	phrasal verb		<span class="endef"> If you <b>act out</b> an event which has happened, you copy the actions which took place and make them into a play.   </span>	<span class="text_blue">将…表演出来</span>
